Student,LPIPS,SSIM
109810011.png,0.0,1.0
112590060.png,0.22191812098026276,0.675656790098169
112590038.png,0.22422847151756287,0.680549793147796
112590017.png,0.22849206626415253,0.6804321354813695
112590036.png,0.24384599924087524,0.66354104194182
112590041.png,0.24655434489250183,0.6582714775228793
112590007.png,0.24727529287338257,0.6692283857462763
110590456.png,0.2575126588344574,0.591730167096577
112590044.png,0.2826729714870453,0.5800892892406786
112590026.png,0.28710684180259705,0.5691989681710962
112590021.png,0.30886930227279663,0.5156367597856926
112590035.png,0.31096333265304565,0.5108996373976248
112590020.png,0.31549733877182007,0.5158088907339005
112590004.png,0.317148357629776,0.5988411844568523
112590009.png,0.3177276849746704,0.6147933823743403
112590023.png,0.32546302676200867,0.5715828039457703
112590059.png,0.3390865623950958,0.6603209362169049
111332012.png,0.34225255250930786,0.5707826742790207
112590057.png,0.34365835785865784,0.5157671550714648
112590022.png,0.35217273235321045,0.5488737855534747
112590029.png,0.35715052485466003,0.6197287929429272
112590013.png,0.3598023056983948,0.6274808205347537
112590014.png,0.3618820905685425,0.6119606639328902
112590033.png,0.36216312646865845,0.6422716887576836
112590056.png,0.3680095672607422,0.6264740839801959
112590003.png,0.36902886629104614,0.6265820658551783
112590031.png,0.37408870458602905,0.41666256605830054
111820017.jpg,0.3795672655105591,0.5412157014080099
112590051.png,0.3819250762462616,0.4338020692893852
112590012.png,0.4095782935619354,0.6159863615205111
112ab0053.png,0.4137009084224701,0.5867523369874297
110590041.png,0.4144439697265625,0.6690822489241776
112590052.png,0.41508784890174866,0.4514716995770121
113378043.png,0.41602957248687744,0.5399264810826249
110820009.png,0.41822755336761475,0.47542253314946653
112590005.png,0.42484793066978455,0.5151045698266722
112590030.png,0.452103853225708,0.5462670805054208
112590053.png,0.45804309844970703,0.413092852799065
112590024.png,0.46744295954704285,0.377211777159387
112590018.png,0.4850122630596161,0.36830197749683075
